	ASGS	nosheep	nobusi	T1	T2	T4	P1	P2	P3
490	315031412	1491235.62	218.66	24.21	15.18	5.67	434.90	90.42	6.57
491	316041431	9.76	4.74	20.86	10.57	3.63	1671.36	278.38	42.52
492	316041433	51.72	4.68	20.98	10.74	3.65	1586.27	269.47	39.23
493	316061439	4.56	2.28	20.75	10.01	3.69	1587.04	275.51	37.57
494	316061440	4689.21	14.55	19.31	10.91	3.90	1588.46	280.48	39.53
495	316061443	147.96	6.8	19.76	11.45	3.86	1503.65	258.08	38.10
496	317011445	148.7	2.48	17.80	13.21	4.74	765.89	106.48	26.56
497	317011449	382.28	2.44	18.04	12.83	4.64	802.34	114.60	28.04
498	317011450	209.72	4.9	18.08	12.64	4.57	848.38	122.72	28.27
499	317011451	870	16.36	18.74	13.34	4.59	850.12	123.56	25.48
500	317011456	35.14	2.52	17.68	11.90	4.35	867.15	125.68	28.46
501	317011458	301.1	6.78	18.04	13.07	4.71	770.54	109.15	27.20
502	318011461	2769.1	4.86	24.48	11.13	3.44	925.97	223.31	12.88
503	318011462	1705.8	2.46	24.10	12.63	3.86	653.72	166.73	8.65
504	318011463	272.3	7.2	23.57	13.09	4.08	643.15	156.84	7.28
505	318021489	277.4	4.46	24.24	10.16	3.36	944.76	228.41	11.21
506	319011498	54.06	8.84	21.64	10.18	3.60	1017.10	168.09	29.83
507	319011499	34.34	2.28	21.68	11.19	3.68	956.88	156.57	27.70
508	319021503	865.48	21.07	20.70	13.67	4.52	735.63	106.94	27.40
509	319021504	156.02	4.62	21.04	11.74	3.93	899.74	150.31	27.58
510	319021505	16.02	2.28	18.69	13.29	4.60	801.31	115.35	27.91
511	319021506	723.24	32.95	19.76	13.85	4.69	713.55	102.34	26.28
512	319021507	1217.5	20.89	18.87	13.46	4.75	753.37	108.50	27.87
513	319021508	851.22	11.5	19.90	13.09	4.43	773.30	117.80	26.66
514	319021509	989.38	6.93	18.70	13.25	4.63	832.83	123.09	27.46
515	319031514	2021.76	44.48	20.41	12.55	4.01	1216.89	206.39	33.52
516	319031515	1090.6	46.72	19.95	13.28	4.31	908.63	138.68	31.35
517	319051522	103.26	7.16	21.71	9.81	3.53	1206.63	197.31	33.67
518	319051525	1077	16.48	21.20	12.49	4.02	1021.71	163.65	30.06
519	401011001	38.5	2.56	17.14	9.63	4.13	502.83	65.72	20.58
520	401021003	56703.66	74.67	14.71	10.81	4.28	694.79	97.36	24.98
521	401021004	2659.6	22.28	14.38	9.92	4.04	851.05	125.92	30.43
522	401021005	914.6	18.2	14.36	10.54	4.05	799.27	117.24	28.04
523	401021006	10125.69	64.22	14.07	10.39	4.09	803.51	112.98	28.66
524	401021007	4865.44	13.78	14.43	10.89	4.09	750.86	106.33	26.43
525	401021008	52694.62	134.65	14.69	11.16	4.09	656.19	90.66	25.14
526	401021009	14459.78	13.2	14.42	11.00	4.10	721.31	99.71	25.95
527	401021010	1451.04	31.54	14.54	9.76	4.08	818.61	117.56	29.71
528	401041015	1036.42	2.26	16.79	9.88	4.22	542.13	72.24	21.90
529	401041016	2914.62	2.2	16.35	9.85	4.18	593.97	80.48	23.41
530	401071023	1341.8	2.36	17.14	9.62	4.12	503.48	65.77	20.60
531	402011025	10737.18	19.78	16.84	11.63	4.61	425.38	50.76	16.80
532	402011026	4795.74	13.32	16.52	11.58	4.61	460.58	57.11	18.20
533	402011027	2526.44	6.92	17.16	11.32	4.55	396.23	46.93	16.80
534	402021032	25.04	2.28	17.05	11.33	4.59	414.45	48.90	17.28
535	402021033	7596.58	40.08	15.80	11.00	4.46	569.99	76.44	21.74
536	402021035	1755.01	14.28	17.16	11.02	4.54	413.78	49.50	17.79
537	402041046	142.66	4.74	17.14	10.76	4.52	441.02	53.80	18.75
538	402051049	2789.24	6.52	15.89	10.58	4.38	585.94	78.57	22.58
539	402051054	324.28	2.14	15.57	10.39	4.31	637.01	87.36	23.70
540	403021059	639.36	2.2	16.75	9.74	4.01	499.73	69.58	20.72
541	403021061	18.24	2.28	16.98	9.68	4.06	490.84	65.26	20.47
542	403031067	229.88	2.28	15.69	9.52	4.03	697.65	99.28	26.51
543	403031068	239.24	2.4	16.93	9.52	4.08	536.03	72.85	21.54
544	403031069	4460.28	2.24	16.58	9.46	4.06	587.88	81.91	23.05
545	403041072	11194.6	6.84	16.17	9.83	3.81	532.41	80.76	19.87
546	403041075	2274.9	29.72	15.17	10.08	4.03	727.01	106.44	27.34
547	403041077	1994.48	2.32	16.10	9.55	4.02	633.72	91.25	24.38
548	403041078	493.44	2.14	15.83	9.92	3.99	628.86	92.87	24.12
549	403041083	2861.8	25.06	15.89	10.01	3.93	593.22	88.32	22.87
550	403041084	35.68	2.22	16.07	9.80	3.99	602.55	88.51	23.47
551	403041087	588.68	4.46	16.36	9.83	3.87	518.42	77.64	19.84
552	403041088	6744.16	34.02	15.83	10.03	3.88	591.52	88.62	22.37
553	403041089	176.06	4.52	15.85	9.73	4.01	644.41	94.53	24.66
554	404011093	14.28	2.38	17.19	9.87	4.22	470.64	61.48	19.70
555	404021103	675.88	2.12	17.26	10.52	4.41	422.98	52.50	18.32
556	405011110	180516.87	279.08	14.16	12.08	4.49	605.01	80.23	24.54
557	405011111	233618.04	301.57	16.02	12.07	4.64	466.87	57.49	18.67
558	405011112	25182.48	60.83	15.73	11.71	4.58	532.27	71.46	20.13
559	405011113	55617.62	110	17.11	11.63	4.54	384.30	45.63	15.77
560	405011114	5820.2	27.32	15.37	12.25	4.62	489.27	61.90	20.16
561	405011115	20254.61	38.86	15.33	12.23	4.62	501.40	64.25	20.13
562	405021116	39038.52	76.76	15.00	13.27	4.97	569.70	75.20	23.40
563	405021117	472988.5	393.32	15.38	12.49	4.75	501.83	62.35	20.48
564	405021118	898198.46	567.87	15.56	13.53	4.93	373.70	43.23	18.34
565	405021119	486544.25	527.04	17.28	12.82	4.64	355.52	45.26	14.30
566	405031120	640569.26	507.82	15.74	13.95	5.21	450.38	55.41	18.75
567	405031121	962820.72	644.06	16.57	13.66	5.41	386.77	45.17	18.18
568	405031122	5777.12	8.93	18.66	12.09	4.68	349.53	37.92	16.08
569	405031123	138807.42	177.78	17.62	12.77	4.78	392.80	47.44	15.76
570	405041124	36457.2	62.04	17.26	12.20	4.51	344.35	45.55	14.05
571	405041125	8590.14	15.6	17.34	11.75	4.40	349.02	46.37	14.85
572	405041126	4381.88	13.21	17.56	12.03	4.49	325.67	41.83	14.07
573	405041127	388276.26	423.76	16.97	11.19	4.22	382.03	52.90	15.34
574	405041128	313270.29	258.06	16.65	9.60	3.65	414.29	65.11	13.82
575	406011129	99254.45	64.92	17.48	12.77	3.90	269.53	39.64	8.69
576	406011130	777926.58	638.34	16.07	9.96	3.35	476.86	77.72	14.40
577	406011131	792779	530.52	17.18	12.77	4.49	317.69	39.30	15.28
578	406011132	763952.08	386.46	17.26	13.26	4.28	344.26	53.33	13.09
579	406011133	43916.63	47.4	16.14	8.96	3.08	508.95	79.80	14.33
580	406011134	601212.1	318.82	17.60	11.80	3.80	310.65	48.02	10.16
581	406011135	54900	2	19.42	15.09	4.94	200.96	25.55	9.21
582	406011136	1450.56	2.2	18.16	11.77	4.53	275.41	28.77	16.84
583	406021138	88000	2	20.31	16.20	6.07	258.54	45.31	9.68
584	406021139	20700	2	20.96	14.45	5.96	203.65	32.74	9.98
585	406021140	613613.64	152	17.73	13.68	5.25	277.55	30.49	15.80
586	406021141	1838400.68	182.59	20.98	14.92	6.16	190.75	34.71	7.14
587	406021142	15649.2	6.74	19.26	12.37	5.07	268.54	30.25	16.44
588	407011144	9337.94	15.78	15.83	9.96	3.44	503.95	69.65	21.33
589	407011145	1117222.58	469.24	15.11	7.83	2.98	607.60	97.52	16.47
590	407011146	46124.4	70.91	15.46	11.02	3.88	555.06	73.64	23.12
591	407011147	142843.19	247.86	15.34	10.67	3.81	587.24	81.73	23.92
592	407011148	20088.96	22.82	15.50	9.14	3.33	608.81	89.56	21.74
593	407011149	170991.56	183.26	15.06	8.99	3.49	682.45	105.09	24.26
594	407021150	354928.16	252.12	14.32	9.28	3.11	734.34	104.62	18.98
595	407021151	1314801.38	420.19	15.24	11.25	3.49	541.74	78.66	15.12
596	407021152	268406	149	14.54	9.85	3.31	717.52	105.97	16.59
597	407021153	90178.24	95.88	14.27	9.73	3.24	728.93	100.90	19.97
598	407021154	425770.7	204.05	14.79	12.81	3.99	529.26	70.20	16.24
599	407021155	1540718.38	570.5	14.76	12.04	3.82	581.99	80.36	16.39
600	407021156	542305.66	317.62	14.34	11.67	3.77	649.59	87.56	17.57
601	407021157	1725556.04	865.92	15.27	13.05	4.13	466.37	59.28	15.71
602	407021158	405786.86	266.98	14.46	9.81	3.28	716.06	104.60	16.95
603	407031159	3850.32	6.8	17.62	14.10	4.81	271.28	32.46	12.15
604	407031161	1005915	599.4	16.13	14.21	4.58	366.48	41.63	16.66
605	407031162	14599.59	13.37	17.06	14.55	4.87	278.60	34.51	12.44
606	407031163	200418.5	127.87	16.87	14.60	4.92	289.27	34.72	13.30
607	407031164	334482.04	337.64	16.03	13.20	4.43	355.53	41.28	17.95
608	407031165	43956.22	42.79	16.32	12.53	4.11	340.77	37.59	18.27
609	407031166	207660.78	144.5	16.25	12.64	4.12	349.57	38.68	18.21
610	407031167	4866.82	2.16	17.94	13.84	5.00	255.20	31.65	11.60
611	407031168	5660.28	12.96	17.75	13.77	5.01	267.88	32.60	12.30
612	407031169	918101.62	538.84	16.03	11.86	3.76	416.14	51.81	16.91
613	407031170	261487.26	197.67	16.94	13.86	4.71	302.25	34.68	15.51
614	501011001	59803.44	165.77	16.68	9.37	3.22	959.25	178.51	13.14
615	501011002	11573.2	32.16	17.24	10.76	3.59	797.30	154.48	10.11
616	501011003	51223.64	116.22	16.70	11.18	3.72	820.26	155.58	11.75
617	501011004	3526.64	9.48	17.12	8.47	2.96	984.92	185.18	12.76
618	501021007	2034.78	32.05	16.99	11.88	4.02	774.05	143.51	11.65
619	501021009	44528.22	34.16	16.24	13.24	4.78	770.36	131.80	10.74
620	501021010	6236.98	39.36	16.69	12.32	4.32	848.69	152.73	13.18
621	501021013	272.98	4.54	17.23	11.31	3.92	763.05	142.67	10.99
622	501021014	35700.3	94.75	16.96	11.98	4.40	872.90	158.06	10.79
623	501021016	7401.5	20.89	17.18	11.60	4.38	899.82	168.27	10.09
624	501031017	899200	443.54	15.48	12.32	4.26	669.79	110.96	14.05
625	501031018	45577.72	170.11	15.56	12.91	4.45	810.79	142.33	13.14
626	501031019	48968.32	84.74	15.58	11.02	3.76	852.11	141.75	16.10
627	501031020	46043.29	117.2	15.99	10.25	3.42	976.70	166.06	16.47
